id_ligne,id_rapport,id_cuve_principale,id_cuve_journaliere,id_groupe,quantite_gasoil_cuve_principale,quantite_gasoil_cuve_journaliere,compteur_horaire,depotage,etat_fonctionnement,observations
9167,9003,1003,2003,3003,4520,1000,7162,3087,F,Ravitaillement de 3087 Litres de carburant de la livraison de 25 000 Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
9168,9003,1004,2004,3004,4032,588,1283,2232,F,Ravitaillement de 2232 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026 .
9169,9003,1005,2005,3005,2161,1000,1185,0,F,Défaut d’inclinaison de la cuve Principale impossible de jauger dans ces conditions
9170,9003,1005,2006,3006,2161,1000,8982,0,HS,Défaut d’inclinaison de la cuve Principale impossible de jauger dans ces conditions
9171,9003,1006,2007,3007,4251,1000,6725,2314,F,Ravitaillement de 2314 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
9172,9003,1007,2008,3008,3084,1000,5336,0,F,RAS
9173,9003,1008,2009,3009,530,192,4059,0,F,RAS
9174,9003,1009,2010,3010,2250,,4038,0,F,RAS
9175,9003,1010,2011,3011,1000,,1954,0,F,; Jauge sale ; Pupitre de lecture floue
9176,9003,1011,2012,3012,320,,1644,0,P,EN ARRET
9177,9003,1012,2013,3013,320,,1974,0,F,RAS
9178,9003,1013,2014,3014,530,,19,0,F,RAS
9179,9003,1014,2015,3015,650,,1164,0,P,Batterie HS ; Pas de chargeur batterie ;
9180,9003,1015,2016,3016,750,,73,0,F,GES en défaut (en arrêt pour le moment
9181,9003,1016,2017,3017,600,,1626,0,F,RAS
9182,9003,1017,2018,3018,500,,896,0,F,RAS
9183,9003,1018,2019,3019,710,,,0,P,Compteur horaire Illisible sur le contrôleur du GES
9184,9003,1019,2020,3020,900,,663,0,F,"PAS D’INVERSSEUR de Sources, GES A L’ARRET"
9185,9003,1020,2021,3021,970,,2139,0,P,RAS
9186,9003,1021,2022,3022,730,1000,1706,0,F,RAS
9187,9003,1022,2023,3023,2450,,5301,0,F,RAS
9188,9003,1023,2024,3024,800,,801,0,F,GES En arrêt défaut de l’électrovanne d’arrêt
9189,9003,1024,2025,3025,0,,,0,HS,GE lister Peter Vétuste en arrêt
9190,9003,1025,2026,3026,0,,,0,HS,GE lister Peter Vétuste en arrêt
9191,9003,1027,2028,3028,800,,1231,0,F,RAS
9192,9003,1028,2029,3029,600,,4211,0,P,RAS
9193,9003,1029,2030,3030,154,,745,0,F,RAS
9194,9003,1031,2032,3032,3270,,357,3000,F,RAS Ravitaillement de 3000 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
9195,9003,1031,2033,3033,3270,,,0,HS,GES Hors service (défaut carte de contrôle)
9196,9003,1030,2031,3031,,,601,0,ND,RAS
